...1,ISO,year,Value,Module,Policy,Broad Category,Market_non_market,Buildingblock,PriorityArea_new,Policy_new,Policytype_detail_new,Policytype,Policy_name_fig_1,Policy_name_fig_2_3,Policy_name_fig_4,Cluster_categories,Policy Name (our short framing),prev_value,introduction,jump,intensification,intensification_jump,is_price,is_subsidy,is_standard,is_reg,priceintro,regintro,subsidyintro,standardintro,price,reg,subsidy,standard,state,first_price_year,first_reg_year,path_group,path
212,ARG,1997,NA,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
246,ARG,1997,0,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
280,ARG,1997,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
9,ARG,1998,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
43,ARG,1998,0,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
77,ARG,1998,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
111,ARG,1998,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
145,ARG,1998,NA,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
179,ARG,1998,NA,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
213,ARG,1998,NA,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
247,ARG,1998,0,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
281,ARG,1998,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
10,ARG,1999,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
44,ARG,1999,0,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
78,ARG,1999,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
112,ARG,1999,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
146,ARG,1999,NA,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
180,ARG,1999,NA,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
214,ARG,1999,NA,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
248,ARG,1999,0,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
282,ARG,1999,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
11,ARG,2000,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
45,ARG,2000,0,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
79,ARG,2000,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
113,ARG,2000,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
147,ARG,2000,NA,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
181,ARG,2000,NA,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
215,ARG,2000,NA,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
249,ARG,2000,0,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
283,ARG,2000,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
12,ARG,2001,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
46,ARG,2001,0,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
80,ARG,2001,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
114,ARG,2001,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
148,ARG,2001,NA,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
182,ARG,2001,NA,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
216,ARG,2001,NA,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
250,ARG,2001,0,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
284,ARG,2001,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
13,ARG,2002,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
47,ARG,2002,5,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,1,5,0,NA,0,0,0,1,0,1,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
81,ARG,2002,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
115,ARG,2002,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
149,ARG,2002,NA,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
183,ARG,2002,NA,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
217,ARG,2002,NA,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
251,ARG,2002,0,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
285,ARG,2002,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
14,ARG,2003,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
48,ARG,2003,5,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,5,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
82,ARG,2003,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
116,ARG,2003,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
150,ARG,2003,NA,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
184,ARG,2003,NA,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
218,ARG,2003,NA,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
252,ARG,2003,0,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
286,ARG,2003,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
15,ARG,2004,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
49,ARG,2004,5,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,5,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
83,ARG,2004,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
117,ARG,2004,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
151,ARG,2004,NA,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
185,ARG,2004,NA,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
219,ARG,2004,NA,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
253,ARG,2004,0,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
287,ARG,2004,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,reg,NA,2002,reg_only,reg_only
