Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6636.7162223126,6501.09244284713,6287.44677484458,6353.67885470655,6413.6565451267,6630.73925661132,6836.60819047894,7096.02927529084,7144.59803650808,7402.41037209862,7864.03619960507,8196.84392575356,8613.75478573297,9136.66916329752,9800.43914484418,10463.9419177705,11330.4161848783,12358.0232027632,13094.4138165822,13330.2590659531,14252.0920575578,15113.7976400253,15847.4359525401,16549.390178251,17214.913795953,17783.9583560237,18377.1004447058,19161.7250464442,20046.3548203081,20852.6820662767,20730.0606457786,22189.5949316763,22841.9944082023,23800.7463665794,24836.8204019414,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12426.2496443874,12604.2214382743,12735.4888976957,13103.5603890904,13570.512771126,13464.1591461771,13773.6502813817,14298.498128386,14501.8123620924,14364.2939331166,14663.6546985,14518.1473302931,14398.7921094693,14568.3460568585,15160.4924321455,15565.8223926843,16172.7101003788,16820.9527256224,17243.3263542645,16665.7968741583,17552.0359470296,18151.8345278753,18434.9424879763,18767.8746499488,18853.4078173274,18763.833651436,18551.8182749603,18745.5824358526,18894.209543149,18882.9520259096,17508.2430480342,18694.1407748025,19352.1819162164,19656.62856612,19959.4404021983,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12298.9851513022,12460.0534264415,12535.8803602005,12892.873380979,13358.376105516,13201.5571194316,13493.2074805862,13993.338739932,14165.3158643393,14010.2992320723,14299.5618282732,14121.5933031409,13988.1846615574,14139.2338125695,14694.9531267648,15084.7424351845,15675.9008565888,16311.1682916038,16724.7561246718,16140.5852729088,17032.6099507094,17610.0331633001,17842.8546285459,18162.5115754918,18233.0993212886,18119.0360664056,17878.5427855339,18061.8087308859,18164.4680971784,18111.5788705619,16785.1312499208,17874.2749394029,18478.2971735689,18750.3841957787,18989.832395945,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12391.4871908826,12568.2968812045,12691.7281872654,13054.5685672704,13517.8339653913,13396.9884886557,13704.6185223163,14224.2238128034,14414.2106393537,14257.5948497954,14550.0410517335,14382.8170707815,14258.3953599032,14430.8996310705,15004.4904040027,15420.9676754085,16038.9729823569,16697.3233162997,17129.6140109507,16551.7045424013,17449.5916792059,18056.5834827288,18341.5443171953,18677.765971933,18763.6344504265,18671.6756767233,18456.8539063598,18654.3301005222,18808.4937492869,18790.9528914649,17418.3129478853,18606.9346826624,19256.4973758813,19556.8117598203,19850.7687675066,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1950.76740960445,1935.20921193761,1890.20483186229,1831.60497342642,1792.32007201522,1845.54028175242,1899.5086189077,1949.65232269941,1975.61373566476,2008.37358981396,2047.42328358298,2099.60673957871,2163.36510672088,2225.86354845171,2320.00969809247,2438.34684459581,2554.75855087334,2689.03224335791,2804.89369502388,2865.13063673889,2978.17163123982,3056.23880519937,3134.14485975635,3238.92379095762,3350.11876930954,3441.66399456899,3522.91896139406,3620.75951852676,3718.46631552159,3825.14512737437,3739.0676637816,3754.2792879925,3853.83273030739,3892.8643306095,3958.13984826658,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4469.29824709104,4470.10258762682,4536.61797733543,4622.68930133428,4715.48499930756,4832.23893144885,5029.66698636905,5199.89349902072,5262.66460025529,5370.8064272137,5569.76197576612,5685.4063144974,5862.97360394641,6112.94669834587,6481.69218490555,6835.94830101017,7264.93868436155,7757.66589586237,8067.1550087492,8245.88562171389,8764.71490671499,9164.42860437342,9500.78675497314,9872.08804408263,10227.536320164,10563.4388345335,10932.0296919606,11355.2499906619,11765.0267871468,12091.285538115,11746.7596171453,12449.4134388469,12853.4642681799,13367.5334663071,13825.5005653101,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2091.57686580616,2086.38447549572,2042.21255774387,1978.61884653466,1942.90498339491,1981.95549275471,2036.17650516126,2109.06994897204,2148.32527658324,2115.61192373685,2100.03544699702,2115.23420888908,2172.36867223988,2247.39822104815,2317.10290040344,2392.58989262387,2455.3108837097,2534.74553598122,2592.98737534229,2614.39792999496,2703.70385729291,2705.91642669203,2496.4561984468,2414.50064631444,2419.51770959186,2431.47117269995,2422.19204116876,2425.21162568311,2432.99149398422,2434.3191547106,2347.07879110203,2301.29090474346,2312.38443050134,2245.1287272549,2252.95101397201,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3015.43800491438,3003.42850137128,3050.2703594091,3055.9973511995,3115.16772864706,3212.73983465503,3347.09723486764,3411.54586314026,3500.26300553413,3626.88719250757,3707.93949584987,3796.15439551126,3892.33119542829,4053.37395058828,4263.30952053785,4473.2186657123,4707.41980455082,4946.43967820625,5080.30050907269,5301.54044215281,5575.53785565004,5746.06732125262,5944.46327437976,6183.67583819575,6464.02971574897,6755.22608255852,7049.04160112153,7334.51120461161,7635.97899988466,7843.63655442009,7439.80749812132,7837.43334833358,8238.69538193574,8649.74836033665,8995.87438825602,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Middle East, North Africa, Afghanistan & Pakistan",MEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9205.14469478033,9095.26186314465,9368.71574867606,9318.9038437748,9316.93121462318,9366.08262225586,9618.56879845384,9752.91641350353,9957.32725384449,10015.5526857452,10377.1186335777,10360.0397376522,10367.4333095409,10569.3605509192,11141.1063561571,11442.4114435944,11811.968610274,12144.084037953,12379.3917296462,12295.7832638917,12616.921437154,12850.9829506654,12973.5733147368,12954.7561844108,13111.2880274314,13259.9310242112,13645.8359003348,13723.8357090461,13842.6400835174,13860.9343986019,13244.125517565,13650.4958301501,14243.8848577148,14296.2954321092,14355.1405957863,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6449.12589427744,6297.01751129194,6445.51855503461,6382.21697250827,6361.38136473518,6409.36639586248,6637.3896393217,6709.96413755907,6926.20863517771,7058.95936198575,7302.94726381604,7349.03717282266,7431.51875495549,7463.4997859343,7856.02203464189,8051.28603801376,8305.93163852024,8609.12407426356,8733.80596118955,8811.65429381035,9031.31975575147,8967.41983587631,8965.99659380495,8889.86942356262,8974.15582612076,9021.46155425322,9395.45474768035,9541.20621317531,9593.49548105505,9605.52420146062,9289.51192984256,9497.25769111683,9771.32115919459,9881.84787217171,9960.20176631377,..
