Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.6801945080092,19.3857947019868,17.8637108953614,23.7980748663102,27.1750501672241,26.7272602739726,30.2998033958892,28.4765404224326,27.7257821552723,36.9545135746606,52.5302337337337,49.3673565471226,34.5571020921947,36.7766177374964,40.7273599259933,44.5122901827187,46.0395120131722,44.2886245963006,42.9373526844517,41.3512545877187,38.8263231219741,38.4012084088197,37.3426880514025,40.4903758542141,41.9269228267256,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.4916497863516,24.5170340448071,22.6422296787815,33.6406666526731,32.1610487205157,60.4271917105475,38.0498684426903,49.5688944454069,67.8416782304827,72.4462059977024,77.8397088024993,64.0663893322394,52.9941083689439,56.1374562146309,88.3298040421117,32.2272169143777,26.5756015796149,23.9767815007079,28.3399914639351,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.6581627672383,51.5779897101267,54.1408183846224,52.1559001938591,56.1414010408873,55.1051736298386,56.6982542234256,57.4267188977442,..,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.21621023271,51.8157928283671,51.2387114267022,52.6986058180705,55.2042360392253,56.8110809259453,56.9375008272264,57.7970778931469,57.2367901029329,56.4136355802795,56.5173523499693,56.480638797473,56.6453735171211,57.206064566221,62.3997102039979,60.0343254564853,57.6254914588371,57.6622186397042,58.9225729509242,58.7478006463531,59.2019719495734,60.4983280052475,60.2020468532002,61.178353815629,61.179068325455,61.0170094436429,60.8775666305138,61.0306838894474,63.0899070350123,63.5886178536833,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.4566158955568,70.8205271334303,70.7070177835187,69.9176130099259,71.4537872475534,71.9422412581348,72.8424114534201,72.8571768991792,72.8090213829589,72.9001733879492,73.9922867769233,75.9521165224508,74.5781635960329,76.8613570571973,78.686285175163,78.9069308415746,78.8372958017318,78.8749543859531,78.9577970757573,78.2098746195357,79.7312744577697,79.1113386071195,80.0810053034631,79.3906348113495,78.7000438836607,79.3002230832453,79.9504470861718,81.1291600502247,81.8147238273129,81.1809383770858,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.4752140155286,82.1205237499681,83.3433020978711,83.1684547861223,83.6931352641516,80.6835274775247,81.7549731716154,78.3131419298925,76.6416940600871,80.6960104475141,81.9131949484686,84.9527186761229,85.0560116105039,82.6134314024033,82.4400759636606,77.9521736938512,82.4795351630776,84.9566233196354,89.2497258915052,93.9712232762282,96.1060982461366,95.5698054817464,96.1625950733033,94.2425644520521,91.8227443855215,92.8845025132338,93.5350422607782,94.3572257559536,93.8083088819782,89.1391535125072,92.0943072324774,90.9638913757087,90.8612029225015,..,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Madagascar,MDG,..,..,..,..,..,..,55.1428260230112,54.9323999340854,54.9301632584457,54.4310348363777,53.0276228874613,52.4128946305004,51.7407404047291,49.2929649373627,44.5010519218171,44.6831019229767,45.0926173099036,44.8588502290174,44.6710157172798,47.0171942959707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.5835155830029,47.5777989361997,47.621535473864,47.6358803367286,46.3037115948654,48.3695987195514,50.9264110852576,50.2028794922736,49.9000478604401,50.2445789659486,51.4124515283538,52.4774184184697,48.0405252639591,47.7475305832466,47.015745609716,48.7541183093285,49.1347880329208,50.9548624555702,51.5008530957731,50.8124409881822,50.7680550591088,51.0107328908938,51.0493152393528,48.7393975825603,49.803398923588,50.3929947597023,49.6063940347523,48.4366085673273,48.4583990467274,47.7176150614467,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.2925279166262,41.3538738927025,41.3030642047499,39.7789055044198,41.1088189206935,38.2234829745461,38.9420992824172,30.21887875042,30.0884595388746,27.1687638358875,28.2546238490966,33.0445035110944,31.5665968084055,32.4399445014388,51.7595081156751,49.55822763556,47.8855293974102,52.1755541825247,48.2887064536368,46.8659030626791,45.5596539072455,47.8472542285068,47.1018174090037,45.9888017430968,46.4939592314372,47.8108177015335,48.8725353335126,49.5765681184685,49.887973712386,50.3807859032207,51.1943503329606,51.6606062394182,52.5104116951348,52.4849872843715,52.6198508476428,53.2072107130481,53.9094692362352,53.1222211157681,53.509369127,52.5126504640364,50.3386872937921,49.7686602288935,49.2359417778991,45.1244920082931,44.2065590810766,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.6774372571992,42.1457183068096,44.0517708323435,44.1926083926067,44.8195731328261,45.6643792888334,47.9668281124778,47.9440911486179,47.8822149204623,47.9005407280122,48.2435813268511,48.9710248796969,47.8827253261694,46.3014974705458,49.1730931223924,48.6964168752104,46.7102388190148,44.5475985554205,44.1971529384927,43.9262781844017,44.5202452881234,43.9481056537511,48.836021810826,48.4774187579282,47.766725565489,49.0223958354783,49.9447288177857,50.1226904594272,52.0138720406596,52.531571127313,51.8821117066805,52.9909917677737,54.1548750822015,54.7885939890947,51.651935586827,51.0158173538955,53.5466505609237,53.7203005018668,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.0853754797306,73.0358466132005,69.5749976187982,72.9062181385384,74.1194230569246,72.1949374958895,77.9264501620872,77.6940062981947,75.0633081409914,75.4770286319992,75.576223617033,75.405092890608,72.3765842355726,69.9439456799519,69.4930565365242,68.4267005521203,71.2654681353912,70.787997194807,73.1643124551169,73.567430802867,70.7639209152849,72.0973260767818,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Mali,MLI,..,..,..,..,..,..,..,18.8331710027802,20.8876485629741,21.2558936195476,19.5320483493142,19.3183629183678,23.1886560538633,26.5136615807881,31.4559039056621,23.2444686166281,25.0807623462431,25.033617741279,27.6536902011808,25.7158142450369,41.8842088334935,40.8897980468745,45.1424873131608,49.5760153461784,51.5238352644382,47.5458481185235,47.4114056830933,45.083181189845,41.5953323388734,43.1590753585951,47.4181567008863,42.3784417466004,47.5124173033398,45.0701142677406,51.9638724019369,52.1244710554028,51.4460515530223,49.4590875160022,49.1963861783117,49.121858397482,49.5097474415832,47.6144991376994,45.3849080030397,49.616048926588,50.1080870456577,46.3414087058786,45.2894690334213,46.104121556801,46.1069254019307,42.5421004229471,42.7504445319706,41.2722148413838,38.7717273817181,41.5078597880673,40.1987213398366,40.0970307151047,39.318867039934,38.465341607849,37.7025904458647,37.2907298223604,35.2593907469673,35.3863444638051,35.4460346344289,35.8983947013896,36.314957700289,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,35.5633394781028,39.6890248787271,33.8376392626642,31.7892792584337,29.4024576622271,27.4183990072456,25.6996342881626,26.7400851348727,27.9834780433813,29.4567952443181,30.4919017425211,32.2961204416824,33.6661386266268,36.0606805097415,34.7764896065823,35.0025753734701,33.4233862879723,35.2594025191638,35.71284099653,35.4459755131089,36.9830657107105,37.5205791901143,41.1143525695652,42.9498401113888,41.9656905656083,60.5530782129282,62.1292240090594,61.9675208354242,62.2555581879723,62.5245106735461,60.207868572704,62.6461883747919,61.6050005190114,62.2794218410861,63.5499754739936,64.2901080746269,65.2891824679354,66.9616316888253,67.6896739441142,68.5819873566602,69.4975433945079,69.9305579683524,71.976214746342,73.0407529416444,74.357127465124,76.1301103065719,75.7999148437723,77.4370339800469,77.1218459299856,77.2158691630937,78.5580595850953,79.6883810098911,80.6068454474279,81.7289465869198,81.772969602807,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.5100464395862,71.3347271038395,69.3767473209583,73.9369636489505,72.9476717255104,72.9172476508033,75.4520947009994,77.9586155003762,78.6161594202899,77.0531424581006,76.4588704318937,76.7916098226466,76.2601851851852,71.7093109869646,69.3441091120139,67.2539014941893,67.7777360515021,70.9195698924731,75.7413718018508,71.6852824578791,71.9682732802995,72.5014545454545,69.792314297982,68.8931761786601,64.3187419431854,69.0630003109867,69.7185136873888,66.9908120927035,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Mauritania,MRT,..,32.1238070344507,36.4414289584095,39.4471388507218,38.0504784486491,33.4395997291563,31.5166196648264,32.1205906493275,30.1852473047056,30.4860946573628,32.6745007700664,32.5615281698901,36.7218475540134,33.9379991352937,32.8701688081767,36.6671053361525,37.6595938839285,41.3617743634388,44.0682121818617,43.2525107380325,44.8882920754358,43.2072149780325,44.9172066665698,46.2989567723798,45.986132217113,42.9701660503317,41.7399721400301,41.9603618830026,41.1754831703928,39.3953034269937,41.8875649632638,41.1014961581974,41.9072303497001,40.1238358715704,40.8465077401675,39.9445062226191,40.5942508377695,41.6795502439938,35.98263021651,36.6469802431395,40.367653425841,41.2732318333519,42.0579788251562,43.3594627143196,42.8464291437464,40.6837476533578,34.0804263088307,38.304859791134,39.238285130247,42.7452015890838,39.9492728035458,36.1958838869826,38.8685569000327,37.9017288839036,44.3634547026997,46.4932179805674,43.8844616566403,43.9182291052554,43.4303714104838,42.835788176362,38.980438494127,41.2809978730915,44.6134039235348,43.0208316833302,42.4294833153804,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.8537083452566,47.5769845707614,48.5789092400726,46.7397994152532,51.7693388288739,51.6022141530627,50.7284989718214,50.6538825742232,48.9646887083022,45.7256606022154,43.8061278748027,45.5105985121737,46.7642864854018,48.0101934844253,45.4404157682589,46.4226282159754,46.903259790753,47.7958602081898,49.7215030138091,50.3618659063811,50.8725209054269,51.9124516696445,51.8639512399731,55.0448152958312,55.2422252046632,55.4900618091756,56.3205984623161,56.6063415748585,56.7403832844542,58.7567132591815,62.4293598087689,62.4791181996705,62.13198040005,62.7869040703565,63.3764437286062,63.6969751208162,64.1212056440386,64.2908222203013,65.3592964389999,65.970161855866,66.6247640219482,67.0349300689085,67.3947692459243,67.8825372749356,68.4838856404543,67.318201705507,65.965029532794,64.8658576788433,64.3722524144138,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Mexico,MEX,..,..,..,..,..,56.8880586080586,57.6705921052632,56.8704819277108,57.0484741144414,57.0667733990148,52.4616441441441,53.5279591836735,54.2833451327434,53.7510709117221,53.0233333333333,52.6130909090909,53.7261925601751,52.7403028664143,53.022648694908,52.8807692307692,59.8809312621193,60.7343624936046,61.2553173843936,59.125488931926,58.8177586078809,57.9554586336838,58.4686256423265,55.8918101300116,57.0025146182274,58.6682417548283,59.6939619136249,60.3786860228101,61.8075913460711,58.2260491853733,58.6574540751997,58.7641712140153,57.3630164009418,56.7693180620841,57.2569163100178,57.3594574554416,58.0223867389803,58.7431527357698,59.1238892356495,60.5312030385874,59.5869309292277,60.0439876595723,59.0671808513914,59.303362048211,59.6814143877222,60.9462035455162,60.4783490503534,59.8866488342752,59.9372072773832,61.0665777215901,60.078270567972,60.5061359736518,60.0750683879945,59.3653310273766,59.2695792093443,59.1556030063002,59.1896498577258,58.3256995124848,58.1306222617617,57.5637379012085,58.1037604498508,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.2881080067238,65.8420058098454,65.8280780937163,61.8942507912512,63.3821726442476,62.6580965984489,64.2150729801372,65.682999675347,64.0993320453441,65.1987977846911,64.7410155298142,66.4424760860791,65.1456584467067,64.1765524432738,61.241642766988,60.4599492775652,58.2690332156308,56.5491492125965,59.207733215714,63.4913617473333,61.318216300117,60.9888923076923,60.7095264623955,66.7645153061224,66.1376395939086,66.9721350904673,66.3782785527854,69.080786975766,69.6296730871947,67.9119759103304,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Moldova,MDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.1450380147892,37.5048765242264,38.325149504176,43.3002419505218,49.499657267257,45.3431424262767,45.9236688117086,47.9359774298987,48.5114051920779,49.8806943056943,50.4115505152449,52.6490324887161,55.9735991016283,56.4299847430152,60.0497721298214,54.5367158254819,53.572447894711,54.4511648315395,52.7992027050012,51.5066274945247,53.3342064591852,53.7937240113846,53.1080578877536,53.9337913876541,54.6779595310298,54.0947225317709,54.641640960384,58.8893896635498,61.5158191372832,62.2659566789328,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.0751827702035,87.1747976772896,86.9859948991006,85.9987844408428,87.3726934495847,82.4082601303485,81.7474299984606,87.1962895943501,86.8529629325224,86.9638389811235,85.1038555525387,87.4569669039488,87.726603726173,88.4965412883701,87.2030353147193,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.3323886779341,43.9878724679278,33.7379074640898,36.556260289619,34.9387988149652,29.3133570088122,31.7541064055949,32.0685963160347,37.3783321255612,37.1754051625983,39.1979237053442,42.2560506979719,46.5943186592965,45.1543259811307,40.2348364808485,37.4557419626278,33.6016996064578,33.9138972323028,39.6705514673849,43.1000868867331,44.8404932199456,45.7860011361674,46.8583778990963,44.7170657988719,45.8242152655518,46.1686156086131,45.8755640343065,42.3762941537368,39.7977094219083,39.7406192297241,40.4904557964325,39.6449079170954,40.9763284189556,41.0433684122384,44.3407185995683,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.1769336369838,57.3561319115751,57.0810664584854,56.1878860599896,56.8952971733453,57.6489509056228,57.5966091195002,56.9966369091048,56.9162660570586,59.4774525067722,60.7888561942815,63.291503899449,64.0175673838773,61.1310638130195,61.450852276444,63.1079872713535,62.2581684285081,62.3775307490001,61.4557592293687,60.9084834181942,60.8813578426969,62.3980563675667,63.1549881438444,63.962450941937,63.7695853263977,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.7260712036299,48.7386460582121,47.4172881737603,46.8931852445249,47.5275274122662,46.7304756980145,45.7727310015655,47.9059098576714,45.0175625177477,45.4069231821335,44.9609311681798,44.2206213617144,46.3434551034315,47.1056039204565,45.4937187047,48.0046353267544,45.0430928732388,46.6165085138162,42.5183594548701,44.2533919139392,45.6643826902591,45.6511101629935,45.676137521941,45.0015319782644,45.6602444605801,47.3638124036934,46.499023933398,48.6528084619907,46.5404621172017,47.3016732715882,47.166110243688,48.2264357061115,49.1349653712344,47.6140626235819,54.7549862499925,52.2029571874719,53.3932404781727,53.0987601129781,53.070813570865,53.4781212999139,53.1903022793513,51.7882000339975,54.4992684878357,53.7147502674415,52.7268616776438,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.2738541889367,48.5929582222437,49.8325133207745,51.0700331832141,51.3714781039121,44.6562692925674,44.9046143413079,45.1638964312284,42.5505992570302,45.3843932799378,47.0298196369858,50.0444497396591,47.4111747462593,46.7802468120728,47.8301891535813,46.0372364063382,47.066127757555,46.6288684700152,46.0759228321161,46.4980980243579,47.0499217311335,47.6027313250162,48.1774792195794,47.4439817727919,46.6230720271826,44.7281700621036,40.5397924322416,39.3943049006571,40.4529777243247,40.4876511190227,39.034021346609,39.3250878300015,41.1086180600705,41.0964463998045,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.0590889399783,37.3598731111395,36.6788599743565,36.2121686668943,37.0367795009136,38.1040550388986,37.6804826288063,38.7594000921142,39.5618722429461,39.7949507833698,40.960932093708,40.7452311327275,40.0374319115209,39.9038198496963,39.4185141578482,39.6848439911869,41.3534526849189,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.3269858623129,46.8784884886623,50.4175646760575,52.7347818822149,54.5191933790623,49.505886895982,50.2253171710908,54.2220976183498,50.4483620892438,49.9301625642937,53.7771376226005,56.2425488351776,58.8923100529178,60.6575312082365,56.3538969857731,58.7126954099126,60.1107861713871,60.2865988582347,59.2188305439104,59.5023593734861,56.9022867868021,56.1672441058378,54.2589464654707,59.0144586199366,57.7762103915834,56.489272532684,52.5972185880007,49.6642964935729,48.3622002913174,52.6102586571458,53.9557685578527,54.1611624054591,53.9227923543527,57.738663851131,57.7023463281603,57.9429326539944,57.7470985015528,58.6183280617479,57.8454369766385,58.4304525510312,58.7746205569356,57.8264516685608,55.4104498097798,53.2928482341831,54.4586091697762,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Nepal,NPL,98.6057293727273,98.618307392507,98.6053909783861,98.6135181975737,98.6064065577064,23.1702967363495,19.6989471790723,22.5253340214289,21.0232853471829,21.2022532398529,21.0424258667883,22.1973619513376,20.7541760727485,23.0314014231557,19.8860063977985,19.2987745977765,20.840519264347,23.4085642361111,23.3681355820744,22.169705054379,24.6584700723083,24.9313375686186,24.4901258420066,25.213269549763,24.8108627146427,31.3506203580475,30.9076878903166,31.6203181761243,30.9247652978961,31.3255441418634,30.3695753074959,33.5530407670374,33.0338199933994,35.061076262793,33.0698743426071,33.1780540663853,33.3694905448892,33.4191285252377,35.2344230417657,34.5843712357764,34.7107154903449,44.452945851523,43.5529543381878,44.1266397280951,45.1719518806742,45.8341533596194,47.9339045137933,48.7769758472824,49.2043233806326,48.6137710063626,46.3988379106184,47.9028529373703,47.987452587668,48.7552170077453,49.5640197511958,50.5398969857639,51.5980440878132,51.8497822876255,51.5904434655837,52.0227162612175,53.9388467411715,51.537232774772,52.4250544391455,55.3711684726242,55.2184600452436,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Netherlands,NLD,..,..,..,..,..,..,..,..,..,53.5664060328257,54.5902970158037,54.8975657021551,55.4830842518342,56.1959769109543,55.6937329717861,57.9849738839339,57.6714807677697,58.9642373337307,60.2244608904391,60.4468944278422,60.1433799605137,59.5688647119335,60.5325475404693,61.3019662330602,60.0729619676156,60.0395607110219,61.9686569656111,63.4240692228998,63.196529159988,62.9551602504011,62.8650968679091,63.5156371286548,64.4114568559274,65.1031752509983,65.086500397974,64.37284869346,64.5030408340573,65.2123573013039,65.8840692028903,66.2867166655163,66.3686362621105,65.6140191037829,66.7119373395559,67.1544627025389,67.2590594330412,66.8422156413956,66.4371412423993,66.7984424551403,66.6428168936234,68.3786833139471,68.7900258467051,68.891165266542,69.0876469086887,69.3644666878015,70.3026846854015,70.5458576179068,70.6379699378623,70.3995812806898,70.2823544056509,70.2508053465611,69.8215350848722,69.4429925410801,69.0713610110483,70.0541740903295,70.4906816195514,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.9083513641229,68.3896664933298,66.4813115543664,69.8171542821323,68.9126604191862,67.0064334202682,65.2842185263718,66.0129534102757,63.2046814220635,59.7426613408063,66.4908391272576,68.2318739383523,64.8758531426138,65.4060906555484,67.3211495118966,67.5395568926351,66.5115646116081,68.0800194079304,69.5722159376037,68.4372752385503,..,65.1940594059406,..,..,..,..,..,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,51.8453683442743,51.2068089430894,52.6681882404087,54.0454995054402,54.4608359676853,52.6496705814953,53.762066099853,54.8110547095319,52.7831465017395,54.3386199451964,54.1087015821058,54.6356019048767,55.2218227040471,54.2275936340792,57.6861696615474,58.7786654702949,58.3231127736555,59.8371758130516,58.5862124723764,60.3360174445335,60.0655547803652,60.2514840109785,59.6535619272835,59.5695364238411,60.4316472006318,61.041928368661,61.7802795401422,63.2683054687061,62.7039009441044,61.8112634451222,62.1193051152962,63.2063677587827,63.904997854701,63.890811922955,64.3076772003903,64.3316434501523,63.4044559202456,64.183711632366,65.3870442725046,64.2365198963975,64.2828339663338,64.9738902196158,64.3979529627944,65.4705105035876,65.8988374959404,65.6042584677909,65.0335422852744,65.5271008636503,65.49207124896,66.2725568029613,67.2009112327821,67.4102911392727,..,..,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.3462658264808,48.7158060155812,47.2294576858909,48.5107994224217,48.7906994203994,50.1521867388057,49.7358775588938,50.3044371148482,50.4457904382355,52.0637365182963,50.4838508360202,49.8576240795747,53.7592580608306,53.3277569988709,52.8963553347955,54.2005121911789,51.7336180965215,48.451431344224,48.0435097123832,48.3652118048254,48.5497818405039,48.5741100477068,49.4649749753047,50.2780347158336,51.0117529210468,50.4678293597465,48.6126906364813,46.1739508361433,46.3607342274576,46.4982498786618,46.8284069382544,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Niger,NER,20.7900418809305,22.6664765310577,20.4826987645484,23.4384013612,22.0766175223436,28.824257288278,29.4046569455398,24.859925225429,25.9768068556892,28.3360902524553,28.1834106185306,27.1417953839466,29.4382505347716,30.3507665343193,28.4700515015562,38.6751350824397,40.0927025179323,34.2251597356756,32.3624853477586,32.5749683997109,33.9999972871697,35.1924071585108,38.4464527947671,38.1749392405729,42.6311672019201,42.3362167166044,43.4334277936007,46.0885109041481,47.2909327417084,48.3819922210249,40.712324581116,40.728814569565,40.9198041298304,41.975916522733,43.6377533946891,45.2201239963526,43.1538098786399,45.3697561320448,41.3904562742031,42.6644357024781,40.3631282931906,37.3699413638536,36.1658912024804,35.9778240858115,38.3835492189962,37.9194605692429,37.4439531922514,37.3635820305751,34.2841235924332,36.908757364448,35.1075507996062,36.6722707602193,34.9550459944691,35.9846069967701,37.0689591319954,38.5305288045027,38.2723746369935,37.8150324557852,36.7622863840327,36.5404927725689,36.0929205690664,37.0537198540635,34.4696656054614,46.512254009267,45.0285833612677,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.5230873393836,50.6955008470837,49.9040525376087,50.3543759669544,47.3185032721128,48.1625480465516,45.5725316183889,43.027006057412,42.3460437132947,42.0474090506274,41.1645222167254,40.9856025088439,42.3501035346073,42.5177313582316,36.979423264697,35.3582269388039,36.3339286815863,42.3808822482371,43.5884840152643,43.7984549227611,46.2224797158223,38.9699324729488,39.1455112028244,43.355018249934,44.6842057357904,48.488798713658,49.962371047205,48.9753597288614,50.981397065431,50.7888436709083,49.2430315160577,50.1858844831558,52.3666011224583,54.1531280154165,58.1222219182291,59.7850976800938,55.8046968877557,52.017050934471,52.8970825936966,52.386998973966,51.3106033394014,51.174865760811,51.7143247366227,53.729561736527,..
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.5421052631579,40.3639462809917,37.2304610672255,45.0603795414009,44.8931846103896,45.6211691931513,46.0555672897146,43.0216948017765,43.4141425429935,44.4519081906963,52.7951384699533,54.3711592635295,52.9017986627014,52.3815194980163,54.1939412933693,55.766792998473,56.2859873372357,56.6726291201939,55.1066547759647,57.0893488526899,55.0944897735173,55.0949403902746,56.3116157384889,54.8447770531849,53.8266326277266,53.7301817323071,53.5495422792727,54.5391890711302,54.3216751049362,54.994997711796,56.5553416357877,56.6626681929412,56.3668315026394,56.9248687459104,56.2488933827217,..
