ISO,year,pop,importpcGDP,AVservicepcGDP,GDP2015,GDPgrowth,GDPpc2015,GDPpc2015ppp,urbpop,GDPpc2015_trend,GDPpc2015_cycle,govteffectiveness,regquality,ruleoflaw,annual_HDD,annual_CDD,tempvariation
ARG,1996,35513793,11.0778716497076,61.350995545650896,367643757074.802,5.52668982715234,10352.140000219102,21695.594951537198,31392585,10582.160217656827,-230.02021743772457,55.21873220000001,58.571804199999995,59.19120230000001,809.4926395965459,816.2644479453702,-0.16514285714285748
ARG,1997,35947791,12.775328741817697,60.849283102107194,397463514160.86597,8.1110467707457,11056.688133100199,23172.158339834197,31848753,10725.70742473036,330.9807083698379,53.91890045000001,59.44097745,58.371856650000005,663.0696088592337,831.4241931928448,0.19485714285714373
ARG,1998,36372860,12.934446011977002,61.539685614483396,412766570325.76404,3.85017885156228,11348.2022124673,23783.101718544898,32296565,10739.962644907408,608.2395675598927,52.6190687,60.3101507,57.552511,664.7082340923866,616.0831414952142,-0.16514285714285748
ARG,1999,36794682,11.5555704475475,63.48773051921709,398792535409.293,-3.3854570406326903,10838.319934638697,22714.511130270097,32741812,10585.3008977091,253.01903692959786,52.0846002,56.77471785,55.87699565,808.7870949144639,724.264360799093,-0.42514285714285727
ARG,2000,37213984,11.6360695451767,63.46931344150101,395646066535.875,-0.7889989390569099,10631.6503639029,22281.3814299958,33185952,10319.415533466152,312.23483043674787,51.5501317,53.239285,54.2014803,891.7500423539014,749.6677084939699,-0.7351428571428578
ARG,2001,37624825,10.2732473690136,65.0812573281962,378202665751.85297,-4.408839682585571,10051.944846304303,21066.4581290433,33624665,10040.482948418028,11.461897886274528,49.255365000000005,46.520413,48.65686895,782.1305895642614,852.8084203554326,-0.10514285714285698
ARG,2002,38029349,13.370127359396001,54.7764456459146,336999433710.193,-10.894484828590302,8861.56199282278,18571.7020471274,34059720,9896.637111674072,-1035.0751188512913,46.96059830000001,39.80154099999999,43.1122576,816.9195275421001,814.9143735172296,-0.3451428571428572
ARG,2003,38424282,14.713805104686099,51.031694250876896,366780211148.674,8.837040795769243,9545.531941199943,20005.138511346493,34486742,10037.84589600543,-492.3139548054878,48.69851840000001,41.5139577,43.4863271,774.9318113830984,792.3849410446242,0.04485714285714337
ARG,2004,38815916,16.845026684957794,47.836988293782696,399898899166.73804,9.029573300681518,10302.4465316428,21591.449396517,34910927,10448.465155167049,-146.01862352424905,50.87704969999999,44.2792775,45.5973455,793.4026052403706,834.097235797963,0.05485714285714316
ARG,2005,39216789,17.305394236766194,48.4861459282405,435296589745.339,8.85165992013437,11099.750919060198,23262.4075792816,35343493,11034.080510145004,65.67040891519355,51.600017300000005,45.4244546,49.860240499999996,808.9875379217951,788.5158761122821,-0.2851428571428567
ARG,2006,39622115,17.406785268103597,48.7491333682456,470325565798.35297,8.047151500430267,11870.2791559298,24877.249392229605,35780106,11676.91460216149,193.36455376830963,52.3494326,44.73570880000001,49.30772699999999,711.6764653040055,847.330080361641,0.2748571428571438
ARG,2007,40016763,18.282420307064395,49.5083307772744,512690850741.56,9.00765087504757,12811.902120657798,26850.6645932771,36207032,12269.697337865131,542.2047827926672,51.357101199999995,44.655582100000004,48.970392000000004,1042.218471494261,822.19355549608,-0.7451428571428576
ARG,2008,40424148,18.341772996414,50.25519220427821,533491913656.279,4.057233103464061,13197.357026702899,27658.485344683104,36645376,12736.096952507482,461.2600741954175,49.9591637,44.4005771,45.29216870000001,774.1703592061203,896.8021895925241,0.14485714285714302
ARG,2009,40854831,14.4961418494061,53.30600100327529,501917060966.23505,-5.918525076349469,12285.3784651865,25747.1976809995,37104726,13086.53444658692,-801.1559814004195,50.203394200000005,42.56217200000001,46.11291270000001,822.3572249343623,897.8072001296619,0.23485714285714288
ARG,2010,41288694,16.0371898581987,51.4951802052167,552738161802.4631,10.1253981561002,13387.155374845799,28056.257021234203,37569823,13405.232432473094,-18.07705762729529,51.481181299999996,42.91147109999999,48.06594380000001,854.0264801670884,823.1032685258012,-0.2851428571428567
ARG,2011,41730660,16.7569458546489,51.81190075111019,585924294024.7849,6.003951692805789,14040.618912444399,29425.7593876084,38019648,13648.228565511577,392.39034693282156,52.73520590000001,43.713093,48.9013186,817.8552600122105,812.4174110725655,-0.0351428571428567
ARG,2012,42161721,14.288682909686202,53.6581179163924,579910247223.4281,-1.0264204544320998,13754.4254235596,28825.9666865361,38453227,13768.66817182757,-14.242748267970455,51.3675738,41.59851300000001,48.099361800000004,766.5479233337485,961.1415554241053,0.4248571428571424
ARG,2013,42582455,14.7167556136651,53.91909366662159,593858966307.156,2.4053237807943604,13946.095083225198,29227.6601818437,38878399,13782.479033055526,163.61605016967223,51.024367399999996,41.6864639,47.05422459999999,820.9054362561985,887.4985899987613,0.2148571428571433
ARG,2014,43024071,14.001315055851899,52.940543466336486,578937574935.6959,-2.5126153208139392,13456.1319159151,28200.815257131795,39322940,13703.310091107027,-247.17817519192613,54.804978999999996,38.890348700000004,44.401349599999996,697.3644477528495,839.8061694772158,0.2248571428571431
ARG,2015,43477012,11.780574038525401,55.81490128433619,594749285413.2119,2.73115982828944,13679.626498095402,28669.206133679603,39778119,13570.988855920807,108.63764217459538,53.648512900000014,42.287837599999996,48.921795900000006,669.6491787178536,866.09616853263606,0.32485714285714273
