"","Name","Sector","Y_1970","Y_1971","Y_1972","Y_1973","Y_1974","Y_1975","Y_1976","Y_1977","Y_1978","Y_1979","Y_1980","Y_1981","Y_1982","Y_1983","Y_1984","Y_1985","Y_1986","Y_1987","Y_1988","Y_1989","Y_1990","Y_1991","Y_1992","Y_1993","Y_1994","Y_1995","Y_1996","Y_1997","Y_1998","Y_1999","Y_2000","Y_2001","Y_2002","Y_2003","Y_2004","Y_2005","Y_2006","Y_2007","Y_2008","Y_2009","Y_2010","Y_2011","Y_2012","Y_2013","Y_2014","Y_2015","Y_2016","Y_2017","Y_2018","Y_2019","Y_2020","Y_2021","Y_2022","Y_2023","Y_2024"
"11","Algeria","Industry",1765.58295545436,1830.31844373397,2370.32249768582,2681.71953807927,2701.68790289744,2638.64882901381,3021.498694836,3446.91962370767,4359.52007571303,5951.43521872694,5588.59159598813,6565.95738442466,7740.72053545871,7247.02721063042,7736.93970342765,8826.99211507692,9429.42236893867,10309.1104123032,10023.4983960238,8590.50742970328,9592.60758196173,10152.2443074831,10958.664869178,10658.7808866247,9730.18032040675,9944.44842434349,9716.98553840012,9813.64787701524,10226.0984773429,10987.9693609916,11436.6140974565,11528.2168251404,12450.0631619182,12853.6026427173,13936.6941840721,15856.4112599578,16575.8973005529,17960.2981615949,18677.875845712,18543.3066261213,19955.4943896466,19791.3268162515,19390.2351551089,19077.1484570573,21263.2967548481,23063.7759537915,23549.0517847875,24992.9406944178,28299.0117900244,30223.6287440084,27957.5472216466,33049.81481878,33952.8655657447,33428.191651711,32552.971152955
"12","Algeria","Transport",2317.11708876,2317.11708876,2554.43245242,2885.92557075,3184.39863219,3555.53737944,4023.43887327,4436.78393979,5084.02789572,5557.82718858,6130.43121291,6696.64283304,7004.7414622499,7518.98105115,8073.38521776,12324.43139472,12440.00594547,12567.69954756,12610.12566876,12929.45192973,15118.07060359,16116.52345069,15829.67539004,15906.32969515,14452.74643909,13886.67438331,13583.33828899,13416.42106207,14089.57365532,14478.68728721,15292.23754812,15797.93534508,17681.43141489,18634.5128639,20253.58465919,21380.52904815,22416.06258575,24880.15923672,26467.56235585,28206.28230918,30150.62916468,32626.06280448,36964.6729573,38771.41436713,42013.49373934,44330.55988282,42943.70777578,42351.06505433,43032.81179903,43068.62073154,38308.85684307,41235.63965373,42933.71643457,44596.707530307,46986.9034162735
"13","American Samoa","Industry",0.041440571778731,0.042388062502436,0.043262669327472,0.044055281757014,0.044775010278775,0.045449186372599,0.046039849663902,0.046598626245172,0.047225731479737,0.048092746218012,0.049283183285295,0.050856260838057,0.052746687024908,0.054905872623598,0.057226010155187,0.059584108059841,0.062007497791589,0.064456700573376,0.066881608719742,0.069229077722064,0.071423186843322,0.073453307184222,0.075302736193066,0.077013989465518,0.078658432503849,0.080275544071448,0.081886581986645,0.083423217574887,0.084880895612058,0.08620039791891,0.087340727293141,0.088333770449339,0.089178008980478,0.089764117018814,0.089987323976902,0.089765635439507,0.089055017396348,0.087920761673001,0.086595185716784,0.085375898780853,0.084480034151153,0.083998696709373,0.083862039401265,0.083978957325401,0.084176351233448,0.084328192689264,0.084422334397153,0.084486107806591,0.08454380757122,0.084616691468371,0.084726017319413,0.08503121865781,0.08503121865781,0.08503121865781,0.08503121865781
"14","Angola","Buildings",120.18614573,120.18614573,138.58782676,141.40775187,131.30161183,115.55558373,92.50151017,98.63541827,104.93358505,104.93358505,56.70802048,68.64637011,53.72323273,59.69254321,548.85140196,602.89701973,621.46315388,626.7911945,752.13076145,726.52721009,663.27033931,691.30427678,618.29301138,514.76818849,632.06453911,666.95904688,910.61545369,911.3426452,1001.18155189,1256.85724429,1049.58195033,1174.96386895,1198.09755425,1254.4916679,1293.78077858,972.93953481,1928.97545776,2293.97410431,2917.10575965,3449.93351931,3647.75448101,4017.85715583,5504.94815656,6676.14722149,6330.72414836,5829.59103107,5503.55218568,5705.16080491,5601.79455958,6278.21609621,5344.25536889,7244.54490484,6915.37352656,7133.2890190478,7232.2856169331
"15","Angola","Electricity & heat",137.58428688,137.58428688,159.26765073,168.79630749,371.818686,352.9558524,346.53880722,346.53880722,346.53880722,386.98809366,399.82218402,399.82218402,421.99108011,459.52290207,117.35687376,160.91776404,204.47833698,173.36355246,260.48500794,244.92761568,291.59979246,244.92761568,172.58696211,125.23541721,175.01919783,171.90759399,197.09054660999,416.6296782,385.12628052,621.10769655,728.54826177001,820.62496067999,820.62496067999,1027.52937147,662.72187560999,597.18655401,641.91201957,1008.18132459,1253.39415576,2229.2957958,2365.71028689,2226.18419196,2476.56459462,3859.86449967,5514.1364679,5913.15896937,4005.35104431,3942.89382288,3050.8554960601,3735.00900252,3559.02901854,3599.20048242,3710.02708812,3727.3555801576,3779.165125158
"16","Angola","Industry",494.068161000227,534.261188315801,637.309710445142,746.499543530292,752.831454727402,759.800457978988,466.980755926922,466.193491467959,659.13374570458,618.000373542103,561.415592406404,582.078059603271,526.158127244908,512.69420422019,782.705645365881,964.519996727841,935.589541386044,959.48214511066,961.012901468529,999.774920882761,1921.29164552465,1788.7008690983,1897.29704124111,2325.05366018269,1783.56293023287,1951.9405316969,2029.25928994805,1894.77620320622,1477.19116567697,1659.90551660035,1752.29757676784,1880.086895542,2060.33013985188,2159.98028163732,2455.07725891347,2305.76101902213,2542.49527752205,2843.45578655512,2807.27373831508,2868.86238745051,2933.8671303555,3002.42425551796,3341.47329310523,3703.66453741228,3874.10561506077,4798.00389090708,4763.53279307407,3084.9220499897,3654.74314366131,3325.48399835914,2815.69704481039,3084.61115551099,3528.52372829266,3444.03869786443,3481.72780948769
"17","Angola","Transport",1026.18608592,1026.18608592,1715.47647786,1447.51811142,1301.89974009,1098.43590228,1107.02265849,648.81388989,1333.04982864,1055.15457285,996.05077812,871.85296182,855.91432203,777.05139297,702.41207106,1039.41172386,1026.0580692,1041.99670947,1242.88744533,1303.95332499,1016.53618353,1257.38384973,1187.00402235,1211.94500415,1540.96895919,1070.87370918,987.97110768,1052.14184847,834.18186282,1156.56867387,1074.49781757,1204.48916175,1477.82516646,1426.39731294,2301.074172,1675.97854521,2588.12440575,3187.97929419,4192.8123155099,5033.0871446101,4924.35708141,5484.99439881,6514.61633376,7449.6611636399,7699.78658589,7778.4774914701,7740.85446732,6552.9225661501,6844.8819350101,7876.6196580301,3870.85667589,7051.37576616,8220.7424381699,8479.792383939,8597.4759089641
"18","Anguilla","Buildings",0.000186502245,0.000187032567,0.000167378808,0.0001316329,0.000164937841,0.000483629144,0.000764814649,0.000695522094,0.001139949866,0.001253523998,0.002869915798,0.001195737228,0.001253604251,0.0008888976671,0.0009880371532,0.002049391872,0.002023348036,0.002101708183,0.001970947751,0.001893093851,0.00308502201,0.002147053439,0.00367409336,0.005099990078,0.00543227923,0.005071665212,0.005261246262,0.007438671196,0.017337439734,0.020956559006,0.017070332488,0.017626612623,0.016207486341,0.01566858131,0.013919603702,0.013575311331,0.012113510536,0.011846546946,0.011293621783,0.011109015933,0.012757454015,0.013043674703,0.013043674703,0.0140047048267,0.0139824196312,0.0140372344033,0.01429319048096,0.01454914655862,0.014128882387509,0.013799311591518,0.011393222116256,0.010990383914576,0.010913568127172,0.010898634448251,0.011320645928336
"19","Anguilla","Electricity & heat",0.429951228,0.429951228,0.435889935,0.438440766,0.446634894,0.479855814,0.521363202,0.449383428,0.542578824,0.661636557,0.455850741,0.451961838,0.445260675,0.416852172,0.409831932,0.4032345358,0.4444555999,0.4641201953,0.3594710413,0.3740667274,0.4022169092,0.4202774055,0.4428350609,0.4437834195,0.4556699747,0.4610670143,0.497931692,0.459604934,0.5737600666,0.490763264,0.648089832,0.730569629,0.7210458602,0.7507857953,0.7528239037,0.7448208196,0.7366833951,0.7603266599,0.7769127515,0.7781953385,0.789682275,0.910453161,0.910453161,0.9775334044002,0.975977890977,0.9798039793956,1.0178283202747,1.0558526611538,1.0253797919944,1.0329379329942,0.86982368931984,0.88038300292565,0.8685311039178,0.89314835205507,0.93952586664342
"20","Anguilla","Industry",0.143971821442901,0.144044201268804,0.156581035420787,0.137850506887968,0.150425108409554,0.163311846589863,0.174673123744092,0.177689119546163,0.193032266933035,0.212852174185194,0.231781542291757,0.252982266513695,0.204424521805237,0.224368188916294,0.234840663635809,0.284195113670171,0.374959213097617,1.09558279567031,0.788420054162335,0.81191256211084,0.793467639172472,0.802479943401637,0.754758873459128,1.35843809012543,1.41814888650917,0.980786670314683,1.00481224755283,0.95459325239755,1.54962971724227,1.52372055628698,1.60209086354896,1.46703843408694,1.39145902525963,1.38263363339967,1.60443790484628,1.22368693619514,1.19326361540065,1.25802136667144,1.22814857610977,1.2236382749329,1.19663014079299,1.1969037434662,1.21233484948726,1.29499959507011,1.2933289835303,1.29825889185932,1.31856228646176,1.33885413775346,1.30312550198362,1.27495265753472,1.0693254076146,1.03424001330804,1.02771752052,1.0277455453437,1.06374111658227
"21","Anguilla","Transport",1.61839359,1.61839359,1.69454073,1.5559692,1.77704892,1.9640547,1.74495195,1.9338402,2.18493804,2.3575656,3.7351782,5.9577585,6.3931695,5.4756348,5.1860268,3.0081261,2.35577691,4.5862005,4.6736877,4.9862928,4.9353465,6.3804006,6.7218987,8.1616635,11.2698615,14.9653137,14.7219207,12.1509648,10.3385889,9.7440759,13.2959427,13.72806,8.7635154,11.1897906,10.4783895,11.0460993,10.9246131,9.7136373,12.713739,17.8783119,22.088676,23.616792,23.616792,25.35682676952,25.31647737198,25.41572458653,26.081134303836,26.746544021142,25.973934499198,25.352030502721,20.922917909674,20.162084531141,20.024067458907,19.983520983549,20.751304882326
