"","Name","Sector","Y_1970","Y_1971","Y_1972","Y_1973","Y_1974","Y_1975","Y_1976","Y_1977","Y_1978","Y_1979","Y_1980","Y_1981","Y_1982","Y_1983","Y_1984","Y_1985","Y_1986","Y_1987","Y_1988","Y_1989","Y_1990","Y_1991","Y_1992","Y_1993","Y_1994","Y_1995","Y_1996","Y_1997","Y_1998","Y_1999","Y_2000","Y_2001","Y_2002","Y_2003","Y_2004","Y_2005","Y_2006","Y_2007","Y_2008","Y_2009","Y_2010","Y_2011","Y_2012","Y_2013","Y_2014","Y_2015","Y_2016","Y_2017","Y_2018","Y_2019","Y_2020","Y_2021","Y_2022","Y_2023","Y_2024"
"1","Afghanistan","Buildings",41.841641989591,42.414546803587,41.806926807292,42.988479430431,46.414286451415,56.407171146387,55.101945724163,60.194462514086,57.678343553592,60.945561126446,73.995270383907,71.23150406343,69.13632314869,80.282725629973,75.754683428641,106.557248566815,145.788297503562,147.445049292477,144.601537164886,142.65403234685,235.132147997852,222.857549303815,162.827196458022,166.271302914017,164.927797958743,171.660221249359,173.50548186878,182.231334428401,184.294448395216,190.663655226736,150.556855609932,153.126704451308,154.432327954668,166.026240668352,166.154262830005,182.041909532169,192.499237604129,232.309997530458,334.75576517585,485.27581686503,585.23272144655,786.04138768894,715.43655669271,738.2722020811,686.05933934416,913.43692835146,772.30341435092,984.67935002788,1252.30202353562,1330.64142042016,1437.81204215699,1401.25404786095,1281.39604247358,1280.67748166778,1329.02129824548
"2","Afghanistan","Electricity & heat",57.2856102389393,57.2856709686735,117.558331240554,175.97536759558,208.057391545656,211.959583313425,242.389089808574,377.853459343199,275.416738285806,303.454034982532,312.720082271912,365.344318368254,363.403724813404,509.3999805204,461.340354922237,643.532321425523,674.977157235821,740.100302595484,683.313967635028,609.395119825927,602.913238927327,603.134900639776,339.916131075943,359.415479973287,312.986071868049,413.976067779776,429.9375370567,430.302138211646,512.410510171127,480.337087320708,356.185135540623,315.886164833728,293.734635888303,345.593912906023,308.163808214352,439.408337945159,486.735161189548,698.297288551345,1231.7102660755,1767.42039277302,2123.93797640525,2680.16842428534,2313.60206898305,2129.7482080517,2193.86997902542,2368.47014759653,2353.09935681763,3062.44478050987,3293.19194728741,3290.54989978332,3109.61507430436,3041.11608025874,2754.79474527451,2831.51972089882,2922.36063199398
"3","Afghanistan","Industry",271.819298265497,263.306134375054,258.483994545355,282.100453620026,307.989738555959,311.747409636724,375.763555491004,406.043508363704,396.895891696478,400.585434237714,403.288786128648,484.443574665143,450.97484355028,482.552831264678,489.133641246449,667.686999768519,646.760916584858,670.626617546398,577.072133378367,549.300801089827,894.721468475755,866.698804936718,590.659260264917,540.604053156895,565.347570781789,483.982177303092,446.600739187404,424.628867653992,411.386539508899,408.713005572865,372.883520221604,304.803357012409,407.163967749462,350.133716948536,305.005153858064,380.684393796858,401.428861599736,773.999273827754,1157.84475966627,1612.08756127236,1967.72700181971,3699.26380623899,2970.56144955832,2988.46348468208,3032.14275752396,2401.55567761849,2354.50334716485,3093.79209694638,2948.49853251339,3084.77651739719,2884.0670162597,3630.84738478659,3338.77845630993,3579.43218168714,3643.5568814803
"4","Afghanistan","Transport",196.60263239399,196.77277179194,207.73686897315,203.38646302821,210.3000761384,235.7624037522,216.43875300115,234.96599832848,259.53654662299,274.45781491994,276.78454589206,322.31697287102,328.43145850275,434.11509339229,400.23601786717,458.52951784421,408.99565933704,466.93998563055,432.35343579379,416.39717963333,741.913117119618,729.011811361544,455.301348834562,458.347558760697,442.84248164911,324.34461276861,300.11632060022,280.17796108337,260.12715917446,252.368262849,141.34201375839,147.48854508151,122.53235676774,173.48649806637,146.59247429059,235.09555782409,315.37670034565,344.88261758471,962.13748969671,1842.3827965234,2497.384460689,3017.263434478,3022.6798202717,2035.1505846189,1465.3087513677,1971.4260056782,1384.3888244606,2124.4540155704,3123.0856481995,3452.4036311441,3776.9915917356,3815.6207393963,3402.8137541884,3386.7307058591,3541.6388100986
"5","Albania","Buildings",195.26275343364,195.26273470305,226.36826172155,257.47409256385,273.02699500276,273.02697627216,304.13280711447,335.23834136687,335.23832263628,366.34415347858,397.44998432089,413.00288675979,428.5557964326,444.1084022816,397.44990939851,319.68556694251,319.68554821192,322.79599073892,335.23813533033,363.66889108088,451.39116757563,508.44495005728,427.56978069577,306.81396665716,291.48360702867,372.40916864224,461.8246910315,449.86154480968,351.35968119263,829.314825047512,845.866851967621,877.063630505623,1294.62786578373,1061.16510881062,857.322482649948,746.993220962894,997.271771358467,819.905884188451,749.515254287694,656.391515623149,664.64850801751,664.530904168009,593.115633594368,661.978310498959,719.905053184117,731.613759813242,748.730125167697,836.490848027478,841.222243322031,851.806312466223,820.182944933714,867.54042578778,851.601508565831,811.32681159565,823.39191297151
"6","Albania","Electricity & heat",699.75184515513,699.74488819405,745.04227242672,758.32606635938,765.52867551573,711.98355087286,724.02207360715,720.07803321106,801.00675837041,842.71968360387,822.38849660087,793.28208243944,903.29417335231,933.42603025773,979.03458930726,1000.6730412569,1013.1582750854,1013.141090783,1014.5963867008,1004.174202775,526.44081647458,333.30867798823,186.902032002,320.84844951915,392.49440670762,264.77777791703,218.05226216634,202.47730983816,214.93720504907,212.23645878642,286.03343693018,275.21388144788,286.36951730141,174.22083750886,168.21170479876,143.29158111877,143.29158111877,90.33595888373,0,6.2392614333907,15.598145821908,31.195965657917,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Albania","Industry",1880.71808108319,1864.85842146626,2265.41386589773,1634.76150511152,1728.1064320408,1543.19126922377,1602.0887957787,1686.56231000448,2023.29143752441,2509.40925560389,3402.11959492593,2887.53237000935,2837.75691751163,3154.67951299847,3279.31120084437,3095.75295086053,3111.28364975199,3357.73936740117,3092.26265962164,3788.87254716215,2757.45731865713,1813.61874070631,921.530878020879,721.950296786563,660.483740710052,685.128670978552,636.559757347888,383.362500251895,517.023475582342,630.209573560819,596.963525584709,724.445861705208,623.064675315604,844.561846775184,884.464031679468,750.935642889815,967.540455662346,1052.93767945702,939.961131225087,1251.10932430814,1638.8443078081,1896.71927326542,1628.56730009239,1654.26242036711,1811.46177158832,1617.62732135182,1359.07052641435,1973.60766676398,2162.92124494387,1754.51973978012,2093.88369473725,2373.73682279232,1877.99059350738,1765.58505927634,1752.70042271988
"8","Albania","Transport",734.74722818243,734.74722818243,788.6158106431,795.67284073069,836.54448941426,868.00695847473,1012.6153302295,1047.2531898862,1134.9947494509,1277.0160544056,1498.1343523776,833.33752685215,866.01726420178,945.4609833064,1338.0914943737,1091.916508012,1023.399295404,1057.7366098609,1166.8774826873,967.45449097336,717.02976248935,542.4942524927,414.48286094377,514.47198079079,645.49417073145,638.14953723111,631.51408504315,501.78979837572,750.36652034361,1372.49870198554,1432.24648820912,1501.251342948,1673.8304840374,1867.51269744686,2217.5835250921,2283.3204102927,1820.4575299628,2006.48853481962,2163.01648679594,2301.52785903636,2232.81909901256,2309.80378942266,2221.41393377386,2383.26690485366,2389.59161016542,2364.03136928522,2212.23874347582,2219.1458067343,2109.8295986611,2090.5527462186,1440.8120015625,1651.7426183397,1573.6419784437,1438.74426251025,1462.19959142594
"9","Algeria","Buildings",1854.1696000105,1854.1696000105,2159.1107360977,2565.5285543765,2744.8580614015,3036.2887255513,3869.3054743343,3884.2536830472,4552.3292382088,5268.9425859534,5478.6214933075,5960.9675811691,6370.9486836123,7174.1343195195,7893.5954007351,4886.0655451247,5621.3719213329,6035.0326297952,6047.2294546012,6786.5721845803,6614.6331539485,7565.4199004632,7806.7106683886,8257.9976733544,8197.1870166901,8119.678752354,8338.1045088936,8007.5735779867,8664.8408537899,9123.5758384634,9361.2720006721,9560.512665013,9928.3151448672,10717.766712883,11555.963824851,12545.601897942,12236.942416653,13650.465380258,13620.097737591,13691.788911885,13448.415610723,14828.004407178,17004.097579102,18707.77054866,19479.006548162,21281.309883622,21549.273898146,22665.668576143,26611.207770006,27328.21685483,27113.48727967,27230.592917309,29307.925691685,27648.8220223697,26275.9965248937
"10","Algeria","Electricity & heat",1649.9304448058,1649.9299316149,1553.8415584898,1224.7541219052,1468.4101447271,2116.8322323035,2536.7912649204,2825.9656884659,3307.4259704725,3670.95857922,5135.9920313458,5324.6550192555,6933.5058801495,7872.233983209,8130.1175614139,8612.1491118423,10267.249006339,9456.1710226202,10420.590960138,10414.596492358,10244.111731526,10613.991521302,11050.085869941,11548.736919896,12368.052304608,12569.264709381,12633.644988888,13372.18841831,14979.404305327,15634.463983799,15864.805081576,16651.504418333,17584.871068278,18818.269428377,19879.034275307,20695.71923704,22050.333515125,22376.368427074,24170.895364006,24725.463466599,25146.782176297,28188.799509813,31005.712856144,30169.806131695,32711.985657979,36867.153813052,36254.440203665,37824.599280258,38724.417033479,39534.326970065,38617.734342598,43637.753034714,46521.893829088,47932.454894384,44778.712437408
