"","Name","Module","year","Emissions_co2","Emissions_co2e","nonco2","ISO","Classification","lnEmissions_co2","lnEmissions_co2e","lnEmissions_nonco2"
"1","Argentina","Buildings","1970",12112.19935006,12597.26261974,7.97243973696,"ARG","UMICs",9.40196843443049,9.44123481693526,2.07599056100991
"2","Argentina","Buildings","1971",12112.19935006,12597.26261974,7.97243973696,"ARG","UMICs",9.40196843443049,9.44123481693526,2.07599056100991
"3","Argentina","Buildings","1972",11785.73902157,12287.866676453,7.97857587129,"ARG","UMICs",9.37464552206514,9.41636760543056,2.07675993329108
"4","Argentina","Buildings","1973",14451.70491546,14969.7912871,7.96428980208,"ARG","UMICs",9.5785676738097,9.61378953523899,2.07496777455043
"5","Argentina","Buildings","1974",14864.40263866,15410.451429434,7.95530849674,"ARG","UMICs",9.60672454886354,9.64280122246224,2.07383944126912
"6","Argentina","Buildings","1975",15436.97257954,16001.322149894,7.750610711205,"ARG","UMICs",9.6445207278986,9.68042663217626,2.04777164170639
"7","Argentina","Buildings","1976",16986.40800977,17539.703415198,7.075427962875,"ARG","UMICs",9.74016877440765,9.77222235672951,1.95662793115219
"8","Argentina","Buildings","1977",18082.78012986,18681.679775493,7.664437293905,"ARG","UMICs",9.80271539036951,9.83529863148153,2.03659109722256
"9","Argentina","Buildings","1978",17356.41112466,17961.442012354,7.56880160456,"ARG","UMICs",9.76171723439178,9.79598262885326,2.02403474640469
"10","Argentina","Buildings","1979",17427.52650099,18073.424363183,7.767476856345,"ARG","UMICs",9.76580621800149,9.80219787106587,2.04994538273058
"11","Argentina","Buildings","1980",17393.75650231,18031.136609401,7.6327182314,"ARG","UMICs",9.76386659910439,9.79985535411065,2.03244403760596
"12","Argentina","Buildings","1981",18378.7313977,19031.9784164335,7.97138229864,"ARG","UMICs",9.81894937272785,9.85387591791497,2.075857915485
"13","Argentina","Buildings","1982",17842.0994402,18499.74695995,7.790375686785,"ARG","UMICs",9.78931608083562,9.82551233313233,2.05288908552145
"14","Argentina","Buildings","1983",19459.9818513,20153.8736998945,8.801372493515,"ARG","UMICs",9.87611542312394,9.91115179206942,2.17490767449502
"15","Argentina","Buildings","1984",19611.79034422,20333.722131852,9.250280286375,"ARG","UMICs",9.88388621253552,9.92003597554315,2.22465385229499
"16","Argentina","Buildings","1985",18708.36279169,19415.504451199,9.02555727128,"ARG","UMICs",9.8367259109867,9.87382722437775,2.2000602498229
"17","Argentina","Buildings","1986",20047.71118358,20722.219218427,7.71188661911,"ARG","UMICs",9.90587027078607,9.93896179577451,2.04276285532128
"18","Argentina","Buildings","1987",21266.16140396,22005.925255638,8.44296063506,"ARG","UMICs",9.96487242194805,9.99906702587942,2.13333303324134
"19","Argentina","Buildings","1988",22489.89109562,23225.05311266,8.56808189908,"ARG","UMICs",10.0208212025948,10.0529868505539,2.14804389181592
"20","Argentina","Buildings","1989",21186.62106628,21828.1943225345,7.581979067655,"ARG","UMICs",9.96112517966493,9.99095773070989,2.02577425629569
"21","Argentina","Buildings","1990",22030.59225308,22675.7331049685,7.297787371425,"ARG","UMICs",10.0001873233697,10.0290506054406,1.98757120240552
"22","Argentina","Buildings","1991",22199.25193434,22916.4012011925,8.214809533105,"ARG","UMICs",10.0078138706413,10.0396081428456,2.10593856596238
"23","Argentina","Buildings","1992",22151.9911112,22962.896453985,9.56891972681,"ARG","UMICs",10.0056826635867,10.041634994654,2.25852031788222
"24","Argentina","Buildings","1993",24557.93409238,25449.837051365,10.63412692574,"ARG","UMICs",10.1087902619633,10.1444646192613,2.36406835085256
"25","Argentina","Buildings","1994",25325.76989419,26291.727518811,9.791278560555,"ARG","UMICs",10.1395777292151,10.1770096256758,2.28149204664182
"26","Argentina","Buildings","1995",25710.93761265,26721.429642075,9.922755931695,"ARG","UMICs",10.1546717683873,10.1932211307879,2.29483069840821
"27","Argentina","Buildings","1996",26030.87394893,27087.663503472,10.089387225485,"ARG","UMICs",10.1670385721054,10.206833681949,2.31148410164769
"28","Argentina","Buildings","1997",25961.82835951,26987.373215262,9.543589170175,"ARG","UMICs",10.1643825982112,10.203124376906,2.25586963799474
"29","Argentina","Buildings","1998",25888.32330012,26886.251078373,9.750298069545,"ARG","UMICs",10.1615473081965,10.1993703225994,2.27729785577785
"30","Argentina","Buildings","1999",27280.22742829,28315.437180714,10.68689556995,"ARG","UMICs",10.2139174487368,10.2511624183268,2.36901827780511
"31","Argentina","Buildings","2000",28125.9290571,29131.756001124,10.42592357388,"ARG","UMICs",10.2444471721025,10.2795841296719,2.34429535597951
"32","Argentina","Buildings","2001",26896.19497529,27818.256050025,8.990921004885,"ARG","UMICs",10.1997401048521,10.2334477765975,2.19621529094302
"33","Argentina","Buildings","2002",26016.02838927,26948.815058352,9.22704744048,"ARG","UMICs",10.1664681035704,10.2016946072203,2.22213911006797
"34","Argentina","Buildings","2003",28680.00554041,29767.357110165,10.61162070162,"ARG","UMICs",10.2639554878938,10.3011676731178,2.36194969323378
"35","Argentina","Buildings","2004",31725.11998863,32906.922846319,10.84283485519,"ARG","UMICs",10.364864074723,10.4014383354789,2.38350447982808
"36","Argentina","Buildings","2005",33186.07930713,34430.139781961,10.69241283933,"ARG","UMICs",10.4098857689966,10.4466876162128,2.36953440951498
"37","Argentina","Buildings","2006",33852.58593845,35150.405257889,10.872282276535,"ARG","UMICs",10.4297706694683,10.4673914265575,2.38621664013716
"38","Argentina","Buildings","2007",38797.47557422,40200.651192324,11.60440751705,"ARG","UMICs",10.5661104609746,10.6016384732899,2.4513849843128
"39","Argentina","Buildings","2008",37075.17252441,38456.304408378,11.374957685595,"ARG","UMICs",10.5207028203847,10.5572779253002,2.4314142448824
"40","Argentina","Buildings","2009",35322.79336371,36578.916803295,10.64837967738,"ARG","UMICs",10.4722837388984,10.5072273097868,2.3654077376115
"41","Argentina","Buildings","2010",39807.65769716,41173.541530548,11.490277749405,"ARG","UMICs",10.5918145772164,10.625551133181,2.4415012647108
"42","Argentina","Buildings","2011",40323.51469431,41722.7990346945,11.84324259383,"ARG","UMICs",10.6046900689439,10.6388029978205,2.47175745968307
